date,setup,food_conc,replicate,start_abs,start_conc,end_abs,end_conc,conc_diff,,
15.2.2017,C,1,1,66.24,1.07,62.68,1.02,-0.06,,
15.2.2017,C,1,2,65.69,1.06,57.4,0.93,-0.13,,
15.2.2017,C,1,3,58.93,0.95,56.47,0.91,-0.04,,
15.2.2017,C,5,1,341.8,5.54,325.5,5.27,-0.26,,
15.2.2017,C,5,2,321.6,5.21,327.4,5.30,0.09,,
15.2.2017,C,5,3,313.5,5.08,353.7,5.73,0.65,,
15.2.2017,C,10,1,770.3,12.48,836.5,13.55,1.07,,
15.2.2017,C,10,2,721.2,11.68,783.4,12.69,1.01,,
15.2.2017,C,10,3,754.8,12.23,879.2,14.24,2.02,,
15.2.2017,C,15,1,1209,19.59,1302,21.09,1.51,,
15.2.2017,C,15,2,1076,17.43,1270,20.57,3.14,,
15.2.2017,C,15,3,1180,19.12,2681,43.43,24.32,,
15.2.2017,C,20,1,1457,23.60,1692,27.41,3.81,,
15.2.2017,C,20,2,1503,24.35,1753,28.40,4.05,,
15.2.2017,C,20,3,1429,23.15,1685,27.30,4.15,,
15.2.2017,C,30,1,2241,36.30,2636,42.70,6.40,,
15.2.2017,C,30,2,2405,38.96,2713,43.95,4.99,,
15.2.2017,C,30,3,2513,40.71,2719,44.05,3.34,,
15.2.2017,C,40,1,2664,43.16,2942,47.66,4.50,,
15.2.2017,C,40,2,2737,44.34,3036,49.18,4.84,,
15.2.2017,C,40,3,3267,52.93,3828,62.01,9.09,,
16.2.2017,C,1,1,43.81,0.71,61.93,1.00,0.29,,
16.2.2017,C,1,2,42.42,0.69,56.68,0.92,0.23,,
16.2.2017,C,1,3,46.62,0.76,61.84,1.00,0.25,,
16.2.2017,C,5,1,285.9,4.63,353.8,5.73,1.10,,
16.2.2017,C,5,2,265.4,4.30,355.7,5.76,1.46,,
16.2.2017,C,5,3,275.6,4.46,367.6,5.96,1.49,,
16.2.2017,C,10,1,655.9,10.63,779.1,12.62,2.00,,
16.2.2017,C,10,2,633.3,10.26,819.4,13.27,3.01,,
16.2.2017,C,10,3,639.2,10.36,774.4,12.55,2.19,,
16.2.2017,C,15,1,858.4,13.91,1103,17.87,3.96,,
16.2.2017,C,15,2,876.4,14.20,1103,17.87,3.67,,
16.2.2017,C,15,3,853.3,13.82,1186,19.21,5.39,,
16.2.2017,C,20,1,986.8,15.99,1397,22.63,6.65,,
16.2.2017,C,20,2,1136,18.40,1407,22.79,4.39,,
16.2.2017,C,20,3,1266,20.51,1387,22.47,1.96,,
16.2.2017,C,30,1,1834,29.71,2175,35.24,5.52,,
16.2.2017,C,30,2,1697,27.49,2336,37.84,10.35,,
16.2.2017,C,30,3,2047,33.16,2313,37.47,4.31,,
16.2.2017,C,40,1,2652,42.96,2943,47.68,4.71,,
16.2.2017,C,40,2,2388,38.69,2886,46.75,8.07,,
16.2.2017,C,40,3,2247,36.40,2820,45.68,9.28,,
17.2.2017,C,1,1,65.69,1.06,65.93,1.07,0.00,,
17.2.2017,C,1,2,70.81,1.15,67.4,1.09,-0.06,,
17.2.2017,C,1,3,79.49,1.29,70.97,1.15,-0.14,,
17.2.2017,C,5,1,416.1,6.74,374.2,6.06,-0.68,,
17.2.2017,C,5,2,404.2,6.55,377.3,6.11,-0.44,,
17.2.2017,C,5,3,402.2,6.52,355.7,5.76,-0.75,,
17.2.2017,C,10,1,805.4,13.05,746.7,12.10,-0.95,,
17.2.2017,C,10,2,767.6,12.44,722.4,11.70,-0.73,,
17.2.2017,C,10,3,785.2,12.72,721.9,11.69,-1.03,,
17.2.2017,C,15,1,1239,20.07,1123,18.19,-1.88,,
17.2.2017,C,15,2,1109,17.97,1104,17.88,-0.08,,
17.2.2017,C,15,3,1147,18.58,1095,17.74,-0.84,,
17.2.2017,C,20,1,1495,24.22,1381,22.37,-1.85,,
17.2.2017,C,20,2,1457,23.60,1385,22.44,-1.17,,
17.2.2017,C,20,3,1493,24.19,1388,22.49,-1.70,,
17.2.2017,C,30,1,2281,36.95,2273,36.82,-0.13,,
17.2.2017,C,30,2,2263,36.66,2311,37.44,0.78,,
17.2.2017,C,30,3,2278,36.90,2406,38.98,2.07,,
17.2.2017,C,40,1,3172,51.39,3230,52.33,0.94,,
17.2.2017,C,40,2,3408,55.21,3131,50.72,-4.49,,
17.2.2017,C,40,3,3026,49.02,3227,52.28,3.26,,